experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,ecies_p256_unwrap_32b_doc_key,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.425516,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,3,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.430753,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,4,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.385716,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,5,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.407965,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,6,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.37288,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,7,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.383241,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.382183,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.55584,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,ecies_p256_unwrap_32b_doc_key,10,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,0.416454,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,5.577504,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.171673,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,3,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.258857,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,4,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.191036,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,5,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.223042,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,6,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.08221,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,7,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.081482,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.073673,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.078687,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,10,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.197783,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,aes_256_gcm_encrypt_1mb,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.847135,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.736418,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,3,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.73677,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,4,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.633967,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,5,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.66709,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,6,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.660696,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,7,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.763246,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.610529,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,1048576,0.8199,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
