checkpoint,function,sample,doc_id,latency_ms
100000,GetDocumentHistory,20,LG-69238,5.27
100000,GetDocumentHistory,21,LG-48957,5.04
100000,GetDocumentHistory,22,LG-46986,7.94
100000,GetDocumentHistory,23,LG-83406,5.09
100000,GetDocumentHistory,24,LG-86884,4.91
100000,GetDocumentHistory,25,LG-62196,5.46
100000,GetDocumentHistory,26,LG-95722,5.40
100000,GetDocumentHistory,27,LG-14600,5.24
100000,GetDocumentHistory,28,LG-94899,6.90
100000,GetDocumentHistory,29,LG-63306,7.93
100000,GetDocumentHistory,30,LG-78130,7.82
100000,GetDocumentHistory,31,LG-5358,8.14
100000,GetDocumentHistory,32,LG-5734,7.61
100000,GetDocumentHistory,33,LG-39651,8.19
100000,GetDocumentHistory,34,LG-28258,8.05
100000,GetDocumentHistory,35,LG-63746,5.24
100000,GetDocumentHistory,36,LG-86260,5.18
100000,GetDocumentHistory,37,LG-61928,7.36
100000,GetDocumentHistory,38,LG-90225,7.70
100000,GetDocumentHistory,39,LG-26740,7.23
100000,GetDocumentHistory,40,LG-29997,4.27
100000,GetDocumentHistory,41,LG-2379,4.03
100000,GetDocumentHistory,42,LG-72570,4.04
100000,GetDocumentHistory,43,LG-62925,5.17
100000,GetDocumentHistory,44,LG-35649,7.34
100000,GetDocumentHistory,45,LG-53623,6.20
100000,GetDocumentHistory,46,LG-6920,7.72
100000,GetDocumentHistory,47,LG-52683,7.34
100000,GetDocumentHistory,48,LG-32047,5.67
100000,GetDocumentHistory,49,LG-90029,6.49
100000,GetDocumentHistory,50,LG-19834,6.76
100000,GetDocumentHistory,51,LG-86087,3.56
100000,GetDocumentHistory,52,LG-51506,4.73
100000,GetDocumentHistory,53,LG-28824,7.12
100000,GetDocumentHistory,54,LG-47435,8.38
100000,GetDocumentHistory,55,LG-81842,7.86
100000,GetDocumentHistory,56,LG-67993,7.38
100000,GetDocumentHistory,57,LG-9734,7.45
100000,GetDocumentHistory,58,LG-8704,5.81
100000,GetDocumentHistory,59,LG-75181,5.08
100000,GetDocumentHistory,60,LG-90934,4.86
100000,GetDocumentHistory,61,LG-85053,5.17
100000,GetDocumentHistory,62,LG-40579,8.29
100000,GetDocumentHistory,63,LG-8315,4.94
