label,function,sample,latency_ms
o2p1-single,RegisterDocument,501,2265.28
o2p1-single,RegisterDocument,502,2265.38
o2p1-single,RegisterDocument,503,2265.40
o2p1-single,RegisterDocument,504,2265.43
o2p1-single,RegisterDocument,505,2265.44
o2p1-single,RegisterDocument,506,2265.48
o2p1-single,RegisterDocument,507,2265.51
o2p1-single,RegisterDocument,508,2265.63
o2p1-single,RegisterDocument,509,2265.80
o2p1-single,RegisterDocument,510,2265.86
o2p1-single,RegisterDocument,511,2265.88
o2p1-single,RegisterDocument,512,2265.92
o2p1-single,RegisterDocument,513,2266.00
o2p1-single,RegisterDocument,514,2266.04
o2p1-single,RegisterDocument,515,2266.08
o2p1-single,RegisterDocument,516,2266.15
o2p1-single,RegisterDocument,517,2266.25
o2p1-single,RegisterDocument,518,2266.30
o2p1-single,RegisterDocument,519,2266.34
o2p1-single,RegisterDocument,520,2266.35
o2p1-single,RegisterDocument,521,2266.40
o2p1-single,RegisterDocument,522,2266.66
o2p1-single,RegisterDocument,523,2266.80
o2p1-single,RegisterDocument,524,2266.88
o2p1-single,RegisterDocument,525,2266.90
o2p1-single,RegisterDocument,526,2267.05
o2p1-single,RegisterDocument,527,2267.14
o2p1-single,RegisterDocument,528,2267.15
o2p1-single,RegisterDocument,529,2267.23
o2p1-single,RegisterDocument,530,2267.24
o2p1-single,RegisterDocument,531,2267.26
o2p1-single,RegisterDocument,532,2267.28
o2p1-single,RegisterDocument,533,2267.38
o2p1-single,RegisterDocument,534,2267.38
o2p1-single,RegisterDocument,535,2267.38
o2p1-single,RegisterDocument,536,2267.54
o2p1-single,RegisterDocument,537,2267.63
o2p1-single,RegisterDocument,538,2267.70
o2p1-single,RegisterDocument,539,2267.74
o2p1-single,RegisterDocument,540,2267.88
o2p1-single,RegisterDocument,541,2267.95
o2p1-single,RegisterDocument,542,2267.96
o2p1-single,RegisterDocument,543,2267.97
o2p1-single,RegisterDocument,544,2268.04
o2p1-single,RegisterDocument,545,2268.12
o2p1-single,RegisterDocument,546,2268.18
o2p1-single,RegisterDocument,547,2268.24
o2p1-single,RegisterDocument,548,2268.39
o2p1-single,RegisterDocument,549,2268.44
o2p1-single,RegisterDocument,550,2268.44
o2p1-single,RegisterDocument,551,2268.49
o2p1-single,RegisterDocument,552,2268.52
o2p1-single,RegisterDocument,553,2268.67
o2p1-single,RegisterDocument,554,2268.69
o2p1-single,RegisterDocument,555,2268.72
o2p1-single,RegisterDocument,556,2268.82
o2p1-single,RegisterDocument,557,2268.84
o2p1-single,RegisterDocument,558,2268.84
o2p1-single,RegisterDocument,559,2268.87
o2p1-single,RegisterDocument,560,2268.88
o2p1-single,RegisterDocument,561,2268.89
o2p1-single,RegisterDocument,562,2268.94
o2p1-single,RegisterDocument,563,2268.94
o2p1-single,RegisterDocument,564,2268.95
o2p1-single,RegisterDocument,565,2269.10
o2p1-single,RegisterDocument,566,2269.13
o2p1-single,RegisterDocument,567,2269.24
o2p1-single,RegisterDocument,568,2269.27
o2p1-single,RegisterDocument,569,2269.36
o2p1-single,RegisterDocument,570,2269.36
o2p1-single,RegisterDocument,571,2269.50
o2p1-single,RegisterDocument,572,2269.57
o2p1-single,RegisterDocument,573,2269.68
o2p1-single,RegisterDocument,574,2269.70
o2p1-single,RegisterDocument,575,2269.70
o2p1-single,RegisterDocument,576,2269.77
o2p1-single,RegisterDocument,577,2269.82
o2p1-single,RegisterDocument,578,2269.84
o2p1-single,RegisterDocument,579,2269.88
o2p1-single,RegisterDocument,580,2269.99
o2p1-single,RegisterDocument,581,2270.02
o2p1-single,RegisterDocument,582,2270.07
o2p1-single,RegisterDocument,583,2270.09
o2p1-single,RegisterDocument,584,2270.12
o2p1-single,RegisterDocument,585,2270.23
o2p1-single,RegisterDocument,586,2270.58
o2p1-single,RegisterDocument,587,2270.59
o2p1-single,RegisterDocument,588,2270.62
o2p1-single,RegisterDocument,589,2270.63
o2p1-single,RegisterDocument,590,2270.64
o2p1-single,RegisterDocument,591,2270.73
o2p1-single,RegisterDocument,592,2270.86
o2p1-single,RegisterDocument,593,2270.89
o2p1-single,RegisterDocument,594,2270.96
o2p1-single,RegisterDocument,595,2271.03
o2p1-single,RegisterDocument,596,2271.12
o2p1-single,RegisterDocument,597,2271.19
o2p1-single,RegisterDocument,598,2271.23
o2p1-single,RegisterDocument,599,2271.29
o2p1-single,RegisterDocument,600,2271.34
o2p1-single,RegisterDocument,601,2271.36
o2p1-single,RegisterDocument,602,2271.55
o2p1-single,RegisterDocument,603,2271.64
o2p1-single,RegisterDocument,604,2271.68
o2p1-single,RegisterDocument,605,2271.75
o2p1-single,RegisterDocument,606,2271.78
o2p1-single,RegisterDocument,607,2271.84
o2p1-single,RegisterDocument,608,2271.89
o2p1-single,RegisterDocument,609,2271.90
o2p1-single,RegisterDocument,610,2271.91
o2p1-single,RegisterDocument,611,2272.03
o2p1-single,RegisterDocument,612,2272.08
o2p1-single,RegisterDocument,613,2272.10
o2p1-single,RegisterDocument,614,2272.12
o2p1-single,RegisterDocument,615,2272.13
o2p1-single,RegisterDocument,616,2272.16
o2p1-single,RegisterDocument,617,2272.38
o2p1-single,RegisterDocument,618,2272.39
o2p1-single,RegisterDocument,619,2272.63
o2p1-single,RegisterDocument,620,2272.64
o2p1-single,RegisterDocument,621,2272.70
o2p1-single,RegisterDocument,622,2272.72
