size_mb,concurrency,source,sample,ok,latency_ms,bytes,error
25,8,remote,8,1,1255.6,26214400,
25,8,remote,9,1,1325.6,26214400,
25,8,remote,10,1,1308.1,26214400,
25,8,remote,11,1,1318.5,26214400,
25,8,remote,12,1,1366.4,26214400,
25,8,remote,13,1,1318.6,26214400,
25,8,remote,14,1,1341.9,26214400,
25,8,remote,15,1,1334.1,26214400,
25,8,remote,16,1,1432.6,26214400,
25,8,remote,17,1,1357.9,26214400,
25,8,remote,18,1,1360.4,26214400,
25,8,remote,19,1,1372.5,26214400,
25,8,remote,20,1,1384.0,26214400,
25,8,remote,21,1,1324.5,26214400,
25,8,remote,22,1,1354.9,26214400,
25,8,remote,23,1,1379.6,26214400,
25,24,remote,0,1,3712.1,26214400,
25,24,remote,1,1,3731.0,26214400,
25,24,remote,2,1,3680.0,26214400,
25,24,remote,3,1,3738.5,26214400,
25,24,remote,4,1,3610.7,26214400,
25,24,remote,5,1,3652.8,26214400,
25,24,remote,6,1,3692.1,26214400,
25,24,remote,7,1,3460.0,26214400,
25,24,remote,8,1,3481.3,26214400,
25,24,remote,9,1,3694.8,26214400,
25,24,remote,10,1,3730.2,26214400,
25,24,remote,11,1,3671.5,26214400,
25,24,remote,12,1,3716.4,26214400,
25,24,remote,13,1,3677.7,26214400,
25,24,remote,14,1,3626.9,26214400,
25,24,remote,15,1,3575.5,26214400,
25,24,remote,16,1,3594.2,26214400,
25,24,remote,17,1,3669.5,26214400,
25,24,remote,18,1,3700.8,26214400,
25,24,remote,19,1,3614.3,26214400,
25,24,remote,20,1,3716.8,26214400,
25,24,remote,21,1,3599.6,26214400,
25,24,remote,22,1,3516.9,26214400,
25,24,remote,23,1,3666.6,26214400,
50,1,local,0,1,240.2,52428800,
50,1,local,1,1,217.6,52428800,
50,1,local,2,1,234.8,52428800,
50,1,local,3,1,226.9,52428800,
50,1,local,4,1,267.3,52428800,
50,1,local,5,1,227.5,52428800,
50,1,local,6,1,273.0,52428800,
50,1,local,7,1,253.6,52428800,
50,1,local,8,1,238.0,52428800,
